card_id,account_id,card_type,expiration_date
76803992-c4bb-4456-b8d6-4e4550325567,371af373-93c6-4625-b850-2f5afbce7242,prepaid,2021-02-20 22:36:25.254135089
1352572d-b8d5-4db1-bf9f-865e10bfb383,853e96ea-1b3c-4380-86ca-c58e4ea4fa75,charge,2024-08-28 12:16:03.791330062
c63d1246-b1e1-4464-a54e-794f1bc12d70,f70424db-d72a-41a7-a772-5b23f6d0079b,debit,2022-11-09 00:50:48.832115807
a08a9032-dd10-4cfe-a1fa-ace2156f6113,b6b63c79-4e3a-4906-bf30-3e014209a996,charge,2022-02-10 11:25:28.407464760
0e30a482-3caa-4504-ad3a-1462b5905733,14bf6530-33ae-40c6-b53a-b956c69b6078,debit,2022-10-20 05:49:32.220825850
8b9de729-00c4-459e-b218-dd72d6d23cb3,01bc045f-2e50-4d9b-9fab-3df9c7a775da,prepaid,2021-09-17 14:12:20.440230404
2664b1d8-ded2-4330-b41b-a86a739e30c1,327f0227-cac2-4589-93b2-f369eba3d3de,credit,2021-06-10 21:32:49.117404362
54636e70-2109-4fc2-b7d6-11f6f25f2827,022cf4b5-72e2-4955-a515-2e5c7577c759,prepaid,2021-03-16 15:21:34.371097996
60885ee0-7d89-4fb2-a275-4afeaac2d413,a2beda1b-566d-4a9d-933d-e06050f1e3d5,debit,2020-05-30 12:19:27.155888852
9266963d-ea05-4bc2-adae-d7cd18184da6,01bc045f-2e50-4d9b-9fab-3df9c7a775da,prepaid,2022-06-25 17:27:36.189282037
46989aec-ac28-48dc-a26d-3820b5e146f4,5d90eeea-029f-46de-b8e8-2c539c748222,charge,2024-06-09 01:16:03.635347458
08473173-de1b-46f8-8edf-4887626ac60d,c225b491-a593-4444-8ad1-99168ae337db,charge,2023-02-24 15:46:47.645330292
7ee28e77-158a-43e4-b010-a42318bda58f,5bd99928-59a1-48a5-a6a2-92a2c37e66e7,charge,2022-08-09 07:14:10.067600469
8d6cf434-8106-4465-b03e-88370d0f46ca,28482c12-3767-424d-a1d8-d34ea331f4e6,credit,2022-02-21 14:39:21.777941396
400648f8-8168-4bf9-b616-5e98dc691cd3,878d1b7f-0f4e-4258-99a4-55bdc48ab372,credit,2022-04-27 23:56:12.738208639
7d61d2a7-a641-473c-ba2e-59f5391fc93a,d1f156fc-b440-446b-ab81-d5df425b58ea,charge,2021-01-17 03:22:13.727975441
1ebc2407-50dc-406d-9b38-59d3e14c8d98,30449ff8-e342-49f7-ae09-9f60ec56e2b3,debit,2024-02-11 16:20:30.775597063
65088d70-aa25-44a6-9bf7-788879737c57,b6b63c79-4e3a-4906-bf30-3e014209a996,credit,2020-12-28 05:56:05.938258874
18d7d508-c71b-4c3a-a871-0cc1b1a6f1db,e5cd62f1-fec7-4414-af7c-f8540fd67461,debit,2023-08-01 13:16:32.486943970
48b487ae-1bfc-4413-80ec-a30abfada32c,d1f156fc-b440-446b-ab81-d5df425b58ea,charge,2023-10-19 17:34:59.317706617
bfedee08-9510-4c99-8e59-46af4408d7f1,8f45e617-797e-4a95-bcb6-45d26734d7ad,debit,2022-11-15 17:03:39.232164333
f79b29dc-6417-4f24-813c-33ad9a3dd1be,2f051915-fd1e-45d0-b74d-7cd7b96e954e,credit,2024-04-24 16:53:07.641673457
ccb9d39e-2732-4cfd-bd46-45b2a1bc86e8,464601e4-5bbf-4b66-8067-bd1de56f751d,prepaid,2021-06-15 10:59:26.324870239
59a67683-f593-47e0-b6b5-3e61fbe0831f,8fc8cd47-7358-4b86-b567-9f7e18137acb,credit,2024-05-28 19:59:35.173490068
ab6ca8c6-eac9-4cb1-9a7a-03023560e8fa,a60ea90e-a003-473c-b53a-e3eedc1c4ce1,debit,2023-08-24 21:41:02.333327676
9c3e8f7b-e2eb-433d-8a8d-cba14c6f3aaa,325ffde3-5411-4972-a6fb-61798a068915,credit,2023-12-29 12:24:44.826593053
5f3bd5a3-bc9e-49a8-9c10-ba724de8aa58,c225b491-a593-4444-8ad1-99168ae337db,prepaid,2023-04-28 12:32:28.285170057
2a048221-6ea4-43a4-8801-7dc5e8df110a,8d99b589-8750-4c24-8ef7-29a7d137fe37,debit,2024-03-25 10:08:10.955646322
6fe9f543-952a-45ed-8837-b15e1752de40,39510c27-a591-4071-8b6e-e208e890a457,charge,2024-12-18 09:33:52.415055646
f22a0890-0fc9-4373-abbf-55b8531d4d3b,a8053c18-21e0-4529-9541-77296e7b6d33,debit,2022-02-06 05:13:00.972075954
d6e20b5b-7b81-4cc2-9ca3-2da5097b44ad,ed43c7f2-abe0-45ea-a2b0-dff7415314f4,credit,2024-01-26 05:02:27.322397573
e053e361-4e8d-4d58-b8a5-2fde48a72fd9,bceb6446-eaa1-4d94-bf35-b8b3e5834ba5,credit,2023-09-21 14:27:48.172025898
60619a37-1747-43b6-a313-be8d5495f442,f8db47a4-a335-4e1d-aea7-f5e9fca7ad54,credit,2022-04-06 22:34:55.711788526
f25d6c4e-0077-4d4b-914b-60b5638ba599,8fc8cd47-7358-4b86-b567-9f7e18137acb,debit,2024-08-19 14:36:46.671399386
c006beba-ae2d-4792-af5d-787872e84649,371af373-93c6-4625-b850-2f5afbce7242,credit,2021-12-21 05:19:18.975321806
9c3b1a14-c969-4f9c-9d1d-d7df2dbe758b,0f726395-0a9a-4b14-af08-51fe31115530,debit,2022-10-29 12:58:41.933603411
f6b7b755-d4c5-407a-ac13-5c3145210de6,3c7b3f4a-8ab3-48c0-8ada-c28f541eee8d,charge,2020-07-12 10:49:04.269978845
5c98e2a0-3fe9-4307-8adf-d0d4a03de1c3,0f726395-0a9a-4b14-af08-51fe31115530,charge,2021-02-16 06:22:19.577136190
d6f5c448-61d3-4edd-ad6f-80d57c9718ab,ebef5603-fcba-4193-be27-d142fd5448bd,prepaid,2024-03-15 02:40:08.318897500
a9029868-a96a-4e12-b3d9-3cda14fbb433,327f0227-cac2-4589-93b2-f369eba3d3de,charge,2021-12-25 02:31:35.490905077
ceeae582-8835-45ee-9633-d413500a71fe,8f45e617-797e-4a95-bcb6-45d26734d7ad,charge,2021-12-20 14:20:28.084323398
bde09e7f-7c82-4a6a-b8d8-9fbc65e1b24e,71982f11-b3b9-4c6e-bf78-6735a77268b5,prepaid,2021-03-25 03:52:19.708268682
47982a4a-fcd1-4c79-84a6-429175de5638,1780828b-0d07-4d89-b85a-8480ed206270,charge,2022-06-16 16:19:52.644905917
290c4af3-ab85-4dde-b3a1-5c9084364e75,f2c17a2a-e574-429c-9078-fdd0bc1121cd,credit,2024-01-11 10:07:21.051226840
f65898aa-338e-4391-a7c6-15efedf5907a,ad97ba99-39d5-4287-a612-f1c2242fb931,charge,2024-06-22 13:40:20.270338919
fab1f27f-b8b4-4a92-a84a-90cdc7b5696c,464601e4-5bbf-4b66-8067-bd1de56f751d,debit,2020-05-08 00:41:41.531655537
1ff8f265-c546-49ea-9938-280ebe8cdc43,668471ec-d8f1-40e4-bf27-60e7e9464da2,prepaid,2022-11-15 14:56:37.413120555
43deb9c3-1540-4856-997d-cfbe178b52e7,bceb6446-eaa1-4d94-bf35-b8b3e5834ba5,charge,2022-05-03 05:47:17.068249215
d7022694-b218-4a92-bbee-add93b54c877,5d90eeea-029f-46de-b8e8-2c539c748222,debit,2023-01-26 16:17:16.134239218
