account_id,customer_id,branch_id,account_type,balance_usd,open_date
ebef5603-fcba-4193-be27-d142fd5448bd,692e161c-717a-428b-a45b-26ded97f0200,a7d0ddd3-4ac6-4de2-bfce-59615277c53d,credit,78.44833504792575,2020-05-02 07:14:40.010986783
8fc8cd47-7358-4b86-b567-9f7e18137acb,75a4ddc5-e4af-4f3b-b7b8-d7f645ed1286,c0cbc6fd-6778-489d-ba14-7f180f946668,savings,94.00693871889268,2022-01-06 09:03:41.394021854
beb32fa9-a311-4c38-ba57-67cd54c6c98e,5c1e4266-b679-4f38-98b2-728a26b5e8a8,490364b4-8a7b-4228-90ab-151ff25d52fe,savings,75.6679256942119,2020-05-26 14:04:23.841791483
a60ea90e-a003-473c-b53a-e3eedc1c4ce1,c3704643-4075-40a6-95c8-6e17d50c089c,927ca7cc-42fd-404d-a0d0-7a1d6658a3c3,credit,106.70084735074826,2021-04-24 17:51:42.599821203
5d90eeea-029f-46de-b8e8-2c539c748222,17e97828-faa7-4ede-8b82-82501719c706,927ca7cc-42fd-404d-a0d0-7a1d6658a3c3,checking,101.0339664285723,2024-12-05 11:46:02.858123848
58099402-1364-447b-9d7a-fe5a242e91b4,2d14d9eb-ca7a-4596-8ddb-fbd2b89f025a,303eb344-8780-4e01-8120-24a6b0d9a4d9,checking,109.6205732952731,2021-01-16 13:26:45.018260624
6052708e-97f6-4ed9-9a41-322695fc3e3d,7f9af023-ffcf-4daf-89b9-95325b1c7372,e1f5d0da-fcb7-49c0-a810-2e938b83f79d,loan,110.15456903276505,2020-12-27 18:18:42.838716474
7783507e-a67c-4f70-81b6-3c7f4ffb700c,49fc1edf-66de-46f6-93ae-a85fb26ed904,8f990ea4-0973-47e2-bbcf-4dbb01e26a0c,savings,112.06013706853354,2022-11-13 11:13:43.209491358
57e83fd5-b16a-486a-b903-1b013db6089a,64c9cf12-8de7-4e44-8cdc-b77f3b387565,a1cc04c0-625c-409d-b2d6-43cdd96a185b,loan,92.53182126352236,2022-06-28 08:16:37.544589492
4c143e02-905a-420f-9970-f62488eaadf9,e46752e5-15c0-485d-888a-17b9ffe1636f,a8ae0ecb-91a1-4990-94b1-37dfe5d0c92d,credit,142.42286805267335,2022-11-25 21:07:40.571822893
